outbound_departure_airport,outbound_arrival_airport,outbound_departure_time,outbound_arrival_time,inbound_departure_airport,inbound_arrival_airport,inbound_departure_time,inbound_arrival_time,total_price,taxes
NBO,MBA,6:00AM Sat 05 Feb 2022,7:10AM Sat 05 Feb 2022,MBA,NBO,7:30AM Sat 12 Feb 2022,8:40AM Sat 12 Feb 2022,80.0,12.0
NBO,MBA,6:00AM Sat 05 Feb 2022,7:10AM Sat 05 Feb 2022,MBA,NBO,8:20PM Sat 12 Feb 2022,9:30PM Sat 12 Feb 2022,80.0,12.0
NBO,MBA,6:40PM Sat 05 Feb 2022,7:50PM Sat 05 Feb 2022,MBA,NBO,7:30AM Sat 12 Feb 2022,8:40AM Sat 12 Feb 2022,75.0,12.0
NBO,MBA,6:40PM Sat 05 Feb 2022,7:50PM Sat 05 Feb 2022,MBA,NBO,8:20PM Sat 12 Feb 2022,9:30PM Sat 12 Feb 2022,75.0,12.0
NBO,MBA,6:00AM Tue 15 Feb 2022,7:10AM Tue 15 Feb 2022,MBA,NBO,7:30AM Tue 22 Feb 2022,8:40AM Tue 22 Feb 2022,80.0,12.0
NBO,MBA,6:00AM Tue 15 Feb 2022,7:10AM Tue 15 Feb 2022,MBA,NBO,8:20PM Tue 22 Feb 2022,9:30PM Tue 22 Feb 2022,80.0,12.0
NBO,MBA,6:40PM Tue 15 Feb 2022,7:50PM Tue 15 Feb 2022,MBA,NBO,7:30AM Tue 22 Feb 2022,8:40AM Tue 22 Feb 2022,80.0,12.0
NBO,MBA,6:40PM Tue 15 Feb 2022,7:50PM Tue 15 Feb 2022,MBA,NBO,8:20PM Tue 22 Feb 2022,9:30PM Tue 22 Feb 2022,80.0,12.0
